,ID,Name,Province,ClimateID,StationID,WMOID,TCID,LatitudeDD,LongitudeDD,Latitude,Longitude,Elevation,FirstYear,LastYear,HourlyFirstYr,HourlyLastYr,DailyFirstYr,DailyLastYr,MonthlyFirstYr,MonthlyLastYr
1,7358,EAST PEN ISLAND,Ontario,6012227,7370,NA,NA,56.77,-88.78,564600000,-884700000,11,1974,1974,1974,1974,NA,NA,NA,NA
2,7361,FORT SEVERN A,Ontario,6012500,45447,NA,YER,56.02,-87.68,560108000,-874034000,15.8,2006,2013,2006,2013,2006,2013,NA,NA
3,7362,FORT SEVERN A,Ontario,6012501,51219,71099,YER,56.02,-87.68,560108000,-874034000,15.8,2013,2016,2013,2016,2013,2016,NA,NA
4,7425,SEVERN RIVER (AUT),Ontario,601P68B,10726,NA,NA,55.38,-88.33,552300000,-882000000,56.4,1994,1995,1994,1995,NA,NA,NA,NA
5,7405,WINISK,Ontario,6019548,3925,NA,NA,55.27,-85.22,551600000,-851300000,12.2,1968,1979,NA,NA,1968,1979,1968,1978
6,7406,WINISK (AUT),Ontario,6019549,7578,NA,NA,55.23,-85.12,551400000,-850700000,13,1981,1986,1981,1986,NA,NA,NA,NA
7,7407,WINISK A,Ontario,6019550,3926,NA,NA,55.23,-85.12,551400000,-850700000,12.8,1957,1965,1957,1965,1959,1965,1959,1965
8,7377,PEAWANUCK  CLDN,Ontario,6016294,30189,NA,NA,55.01,-85.42,550048000,-852524000,52.1,NA,NA,NA,NA,NA,NA,NA,NA
9,7379,PEAWANUCK A,Ontario,6016298,52878,NA,YPO,54.99,-85.44,545917000,-852636000,52.7,2014,2016,2014,2016,NA,NA,NA,NA
10,7378,PEAWANUCK (AUT),Ontario,6016295,10197,71434,WWN,54.98,-85.43,545900000,-852600000,52.7,1994,2016,1994,2016,1994,2016,2003,2006
11,7418,SACHIGO RIVER,Ontario,601GBG0,7364,NA,NA,54.82,-89.33,544900000,-892000000,121.9,NA,NA,NA,NA,NA,NA,NA,NA
12,7344,AGUSK LAKE,Ontario,6010082,7572,NA,NA,54.67,-89.48,544000000,-892900000,152.4,NA,NA,NA,NA,NA,NA,NA,NA
13,7389,RANGER LAKE,Ontario,6016883,7576,NA,NA,54.57,-87.38,543400000,-872300000,109.7,NA,NA,NA,NA,NA,NA,NA,NA
14,7431,WINISK RIVER,Ontario,601R553,7571,NA,NA,54.55,-87.27,543300000,-871600000,106.7,NA,NA,NA,NA,NA,NA,NA,NA
15,7417,SACHIGO LAKE,Ontario,601GB70,7365,NA,NA,53.88,-92.15,535300000,-920900000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
16,7402,TROUT LAKE,Ontario,6018948,7375,NA,NA,53.87,-89.77,535200000,-894600000,343.8,NA,NA,NA,NA,NA,NA,NA,NA
17,7350,BIG TROUT LAKE,Ontario,6010738,3914,NA,NA,53.83,-89.87,535000000,-895200000,224.1,1939,1992,1953,1992,1939,1992,1939,1992
18,7348,BIG TROUT LAKE A,Ontario,6010735,49488,71675,YTL,53.82,-89.9,534904000,-895349000,222.5,2011,2016,2011,2016,2011,2016,NA,NA
19,7351,BIG TROUT LAKE READAC,Ontario,6010739,10804,NA,TBL,53.82,-89.9,534856000,-895344000,222.2,1992,2013,1994,2013,1992,2013,NA,NA
20,7352,BIG TROUT LAKE,Ontario,6010740,50857,71208,OTL,53.82,-89.89,534858000,-895330000,222.5,2012,2016,2012,2016,2012,2016,NA,NA
21,7410,EKWAN RIVER (AUT),Ontario,601BKEK,10910,NA,NA,53.82,-84.92,534900000,-845500000,96,1994,1995,1994,1995,NA,NA,NA,NA
22,7349,BIG TROUT LAKE  CLDN,Ontario,6010737,30191,NA,NA,53.8,-89.9,534800000,-895400000,222.2,NA,NA,NA,NA,NA,NA,NA,NA
23,7423,MUSKRATDAM LAKE,Ontario,601NEC0,7367,NA,NA,53.45,-91.63,532700000,-913800000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
24,7373,MUSKRAT DAM A,Ontario,6015025,44483,71755,ZMD,53.44,-91.76,532629000,-914546000,277.7,2005,2012,2005,2012,2006,2012,NA,NA
25,7374,MUSKRAT DAM,Ontario,6015026,50722,71678,ZMD,53.44,-91.76,532629000,-914546000,277.7,2012,2016,2012,2016,2012,2016,NA,NA
26,7398,SANDY LAKE,Ontario,6017400,45088,NA,NA,53.06,-93.34,530351000,-932040000,289.9,2006,2012,2006,2012,2006,2012,NA,NA
27,7399,SANDY LAKE A,Ontario,6017401,50723,71587,ZSJ,53.06,-93.34,530351000,-932040000,289.9,2012,2016,2012,2016,2012,2016,NA,NA
28,7428,SANDY LAKE,Ontario,601PDH0,7368,NA,NA,53.05,-93.33,530300000,-932000000,304.8,NA,NA,NA,NA,NA,NA,NA,NA
29,7404,WEBEQUIE,Ontario,6019440,7577,NA,NA,52.98,-87.35,525900000,-872100000,204.2,NA,NA,NA,NA,NA,NA,NA,NA
30,7347,ATTAWAPISKAT A,Ontario,6010400,52918,71653,YAT,52.93,-82.43,525539000,-822555000,9.1,2015,2016,2015,2016,2015,2016,NA,NA
31,7346,ATTAWAPISKAT,Ontario,6010387,3913,NA,NA,52.92,-82.45,525500000,-822700000,9.1,1968,1968,NA,NA,1968,1968,1968,1968
32,7414,POPLAR HILL,Ontario,601F562,9838,NA,NA,52.85,-94.3,525100000,-941800000,0,NA,NA,NA,NA,NA,NA,NA,NA
33,7430,SUMMER BEAVER,Ontario,601QJ69,9874,NA,NA,52.75,-88.52,524500000,-883100000,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,7421,DEER LAKE,Ontario,601JRP6,9836,NA,NA,52.63,-94,523800000,-940000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,7411,KARL LAKE,Ontario,601C9PR,7570,NA,NA,52.58,-90.18,523500000,-901100000,317,NA,NA,NA,NA,NA,NA,NA,NA
36,7400,STIRLAND,Ontario,6018046,9847,NA,NA,52.42,-91.05,522500000,-910300000,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,7365,KASHECHEWAN  CLDN,Ontario,6014010,30251,NA,NA,52.28,-81.67,521701000,-814008000,12.6,NA,NA,NA,NA,NA,NA,NA,NA
38,7345,ALBANY,Ontario,6010097,7573,NA,NA,52.25,-81.63,521500000,-813800000,9.1,NA,NA,NA,NA,NA,NA,NA,NA
39,7368,LANSDOWNE HOUSE,Ontario,6014350,3919,NA,NA,52.23,-87.88,521400000,-875300000,254.5,1941,1989,1953,1989,1941,1989,1941,1989
40,7896,FORT ALBANY,Ontario,6072460,4147,NA,NA,52.22,-81.67,521300000,-814000000,15.2,1968,1993,NA,NA,1968,1993,1968,1993
41,7369,LANSDOWNE HOUSE A,Ontario,6014351,51237,NA,YLH,52.2,-87.93,521144000,-875603000,254.2,2013,2016,2013,2016,NA,NA,NA,NA
42,7370,LANSDOWNE HOUSE (AUT),Ontario,6014353,10244,71846,WLF,52.2,-87.94,521146000,-875610000,253.4,1992,2016,1994,2016,1992,2016,2000,2006
43,7371,LANSDOWNE HOUSE A,Ontario,6014355,43910,NA,YLH,52.2,-87.94,521145000,-875610000,254.2,2005,2013,2005,2013,NA,NA,NA,NA
44,7420,CAT LAKE,Ontario,601JB68,9845,NA,NA,51.92,-91.82,515500000,-914900000,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,7375,MCDOWELL,Ontario,60150LN,9837,NA,NA,51.83,-93.58,515000000,-933500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,7419,SHRED LAKE,Ontario,601GG05,7366,NA,NA,51.77,-89.72,514600000,-894300000,350.5,NA,NA,NA,NA,NA,NA,NA,NA
47,7942,OGOKI POST A,Ontario,6075786,52898,71652,YKP,51.66,-85.9,513931000,-855404000,181,2014,2016,2014,2016,2014,2015,NA,NA
48,7969,OGOKI POST,Ontario,607EGFM,7621,NA,NA,51.62,-85.93,513700000,-855600000,198.1,NA,NA,NA,NA,NA,NA,NA,NA
49,7409,FORT HOPE,Ontario,601B4QR,9863,NA,NA,51.58,-88,513500000,-880000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,7359,FORT HOPE,Ontario,6012490,3918,NA,NA,51.55,-87.97,513300000,-875800000,NA,1891,1930,NA,NA,1891,1930,1891,1930
51,7360,FORT HOPE,Ontario,6012491,7574,NA,NA,51.55,-87.98,513300000,-875900000,267.6,NA,NA,NA,NA,NA,NA,NA,NA
52,7372,MARTENS FALLS,Ontario,6014997,7575,NA,NA,51.53,-86.5,513200000,-863000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,7353,CENTRAL PATRICIA,Ontario,6011305,3915,NA,NA,51.5,-90.15,513000000,-900900000,345,1953,1978,NA,NA,1953,1978,1953,1978
54,7364,KAPIKIK LAKE,Ontario,6013955,7372,NA,NA,51.5,-91.97,513000000,-915800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,7715,MIMINISKA LAKE,Ontario,604N1H9,9870,NA,NA,51.5,-88.5,513000000,-883000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,7382,PICKLE LAKE  CLDN,Ontario,6016524,30193,NA,NA,51.48,-90.16,512848000,-900943000,365.1,NA,NA,NA,NA,NA,NA,NA,NA
57,7967,GHOST RIVER,Ontario,607BGFE,7619,NA,NA,51.48,-83.4,512900000,-832400000,61,NA,NA,NA,NA,NA,NA,NA,NA
58,7381,PICKLE LAKE,Ontario,6016523,7988,NA,NA,51.46,-90.2,512735000,-901155000,370,NA,NA,NA,NA,NA,NA,NA,NA
59,7380,PICKLE LAKE CAPMON,Ontario,6016520,48528,NA,PKL,51.45,-90.22,512656076,-901305068,386.2,NA,NA,NA,NA,NA,NA,NA,NA
60,7383,PICKLE LAKE (AUT),Ontario,6016525,3920,71835,WPL,51.45,-90.22,512657001,-901304007,390.8,1930,2016,1955,2016,1930,2016,1930,2006
61,7384,PICKLE LAKE A,Ontario,6016527,3921,71845,YPL,51.45,-90.21,512647000,-901251000,386.2,1990,2012,1990,2012,1990,2012,1990,2012
62,7385,PICKLE LAKE A,Ontario,6016528,52418,NA,YPL,51.45,-90.21,512647000,-901251000,386.2,2013,2016,2013,2016,NA,NA,NA,NA
63,7386,PICKLE LAKE A,Ontario,6016529,50478,71845,YPL,51.45,-90.21,512647000,-901251000,386.2,2012,2016,2012,2016,2012,2016,NA,NA
64,7387,PICKLE LAKE UA,Ontario,6016530,32514,71845,YPL,51.45,-90.2,512700000,-901200000,386.2,NA,NA,NA,NA,NA,NA,NA,NA
65,7388,PICKLE LAKE UA,Ontario,6016532,31868,71845,NA,51.45,-90.22,512700000,-901300000,386.2,NA,NA,NA,NA,NA,NA,NA,NA
66,7412,MAKOKIBATAN LAKE,Ontario,601DQ62,9872,NA,NA,51.42,-87.42,512500000,-872500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,7424,SABOURIN LAKE,Ontario,601P2FF,9839,NA,NA,51.42,-94.68,512500000,-944100000,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,7355,DONA LAKE,Ontario,6012064,3916,NA,NA,51.4,-90.12,512400000,-900700000,382,1990,1990,NA,NA,1990,1990,1990,1990
69,7930,MOOSONEE,Ontario,6075420,48950,71398,YMO,51.29,-80.61,511728000,-803628000,9.1,2010,2016,2010,2016,2010,2016,NA,NA
70,7932,MOOSONEE A,Ontario,6075428,7632,71836,YMO,51.29,-80.61,511729000,-803627000,9.1,1994,2006,1994,2006,1995,2006,NA,NA
71,7934,MOOSONEE RCS,Ontario,6075435,42123,71309,XZC,51.29,-80.62,511730000,-803705000,9.1,2003,2016,2003,2016,2003,2016,2003,2006
72,7401,SWAIN LAKE,Ontario,6018190,7374,NA,NA,51.28,-93.33,511700000,-932000000,395.6,NA,NA,NA,NA,NA,NA,NA,NA
73,7933,MOOSONEE AWOS,Ontario,6075431,30242,71836,YMO,51.28,-80.6,511700000,-803600000,9.1,2006,2010,2006,2010,2006,2010,NA,NA
74,7936,MOOSONEE CS,Ontario,6075439,11000,71838,WSM,51.28,-80.6,511700000,-803600000,8.5,1994,1995,1994,1995,NA,NA,NA,NA
75,7931,MOOSONEE UA,Ontario,6075425,4168,71836,WZC,51.27,-80.65,511600000,-803900000,10,1932,2016,1953,1995,1932,2016,1932,2006
76,7929,MOOSE FACTORY  CLDN,Ontario,6075403,30248,NA,NA,51.25,-80.62,511501000,-803700000,10.18,NA,NA,NA,NA,NA,NA,NA,NA
77,7935,MOOSONEE CLDN,Ontario,6075437,44264,NA,YMO,51.25,-80.62,511501008,-803700012,10.2,NA,NA,NA,NA,NA,NA,NA,NA
78,7551,ALLANWATER BRIDGE,Ontario,6040211,9850,NA,NA,51.23,-90.18,511400000,-901100000,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,7928,MOOSE FACTORY,Ontario,6075400,4167,NA,NA,51.23,-80.5,511400000,-803000000,8.8,1877,1938,NA,NA,1877,1938,1877,1929
80,7354,DOG HOLE BAY,Ontario,6012035,7369,NA,NA,51.22,-90.23,511300000,-901400000,374.9,NA,NA,NA,NA,NA,NA,NA,NA
81,7390,RAT RAPIDS,Ontario,6016890,3922,NA,NA,51.2,-90.23,511200000,-901400000,374.9,1934,1953,NA,NA,1934,1953,1934,1953
82,7408,WOMAN LAKE,Ontario,6019560,7377,NA,NA,51.18,-92.85,511100000,-925100000,390.8,NA,NA,NA,NA,NA,NA,NA,NA
83,7363,JACKSON MANION,Ontario,6013847,7371,NA,NA,51.17,-92.75,511000000,-924500000,399.3,NA,NA,NA,NA,NA,NA,NA,NA
84,7367,LAKE ST JOSEPH,Ontario,6014303,7373,NA,NA,51.08,-90.58,510500000,-903500000,361.2,NA,NA,NA,NA,NA,NA,NA,NA
85,7391,RED LAKE A,Ontario,6016970,50248,71854,YRL,51.07,-93.79,510402000,-934735000,385.9,2012,2016,2012,2016,2012,2016,NA,NA
86,7392,RED LAKE A,Ontario,6016971,52419,NA,YRL,51.07,-93.79,510402000,-934735000,385.9,2013,2016,2013,2016,NA,NA,NA,NA
87,7393,RED LAKE,Ontario,6016974,10900,NA,NA,51.07,-93.8,510400000,-934800000,383.1,1994,1994,1994,1994,NA,NA,NA,NA
88,7394,RED LAKE A,Ontario,6016975,3923,71854,YRL,51.07,-93.79,510401000,-934735000,385.88,1930,2012,1953,2012,1930,2012,1930,2012
89,7396,RED LAKE FORESTRY,Ontario,6016979,3924,NA,NA,51.07,-93.82,510400000,-934900000,375.5,1959,1960,NA,NA,1959,1960,1959,1960
90,7403,UCHI LAKE,Ontario,6019053,7376,NA,NA,51.07,-92.58,510400000,-923500000,402.3,NA,NA,NA,NA,NA,NA,NA,NA
91,7395,RED LAKE  CLDN,Ontario,6016977,30241,NA,NA,51.03,-93.86,510203000,-935147000,376.9,NA,NA,NA,NA,NA,NA,NA,NA
92,7376,MEDCALFE,Ontario,60150NR,9846,NA,NA,50.97,-90.43,505800000,-902600000,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,7416,ROOT PORTAGE,Ontario,601GAHG,7363,NA,NA,50.88,-91.45,505300000,-912700000,373.4,NA,NA,NA,NA,NA,NA,NA,NA
94,7366,LAC SEUL,Ontario,601428J,9834,NA,NA,50.78,-93.45,504700000,-932700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,7693,WABOOSE DAM,Ontario,6049175,4060,NA,NA,50.78,-87.98,504700000,-875900000,329.2,1941,1956,NA,NA,1941,1956,1941,1956
96,7699,MELCHETT LAKE,Ontario,604E0N9,7579,NA,NA,50.67,-87.08,504000000,-870500000,320,NA,NA,NA,NA,NA,NA,NA,NA
97,7356,EAR FALLS,Ontario,6012198,3917,NA,NA,50.63,-93.22,503800000,-931300000,360.9,1928,1999,NA,NA,1928,1999,1928,1999
98,7357,EAR FALLS (AUT),Ontario,6012199,27865,71295,XEA,50.63,-93.22,503750000,-931317000,362.6,1999,2016,2000,2016,1999,2016,1999,2006
99,7672,SUMMIT CONTROL DAM,Ontario,6048175,4053,NA,NA,50.63,-88.2,503800000,-881200000,332.2,1950,1959,NA,NA,1950,1959,1950,1959
100,7941,ONAKAWANA,Ontario,6075780,7634,NA,NA,50.6,-81.4,503600000,-812400000,48.5,NA,NA,NA,NA,NA,NA,NA,NA
101,7970,ONAKAWANA,Ontario,607EGP0,7622,NA,NA,50.6,-81.42,503600000,-812500000,61,NA,NA,NA,NA,NA,NA,NA,NA
102,7971,ONAKAWANA (AUT),Ontario,607EP80,10685,NA,WOQ,50.6,-81.42,503600000,-812500000,42.1,1994,1997,1994,1997,NA,NA,NA,NA
103,7489,GOOSE ISLAND,Ontario,6032895,7383,NA,NA,50.57,-93.65,503400000,-933900000,359.7,NA,NA,NA,NA,NA,NA,NA,NA
104,7397,ROWDY LAKE,Ontario,6017200,9842,NA,NA,50.55,-94.42,503300000,-942500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,7714,META LAKE,Ontario,604N062,9869,NA,NA,50.5,-87.25,503000000,-871500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,7426,SLATE FALLS,Ontario,601P808,9848,NA,NA,50.47,-94.95,502800000,-945700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,7543,SIOUX NARROWS,Ontario,603PQ00,9851,NA,NA,50.47,-94.95,502800000,-945700000,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,7661,SAVANT LAKE,Ontario,6047620,4047,NA,NA,50.47,-90.35,502800000,-902100000,398.7,1930,1944,NA,NA,1930,1944,1930,1944
109,7537,MAYNARD LAKE,Ontario,603E0BH,9854,NA,NA,50.42,-93.83,502500000,-935000000,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,7562,BRACE LAKE,Ontario,60408EN,9867,NA,NA,50.42,-87.58,502500000,-873500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,7968,MAMMAMATTAWA,Ontario,607DHHF,7620,NA,NA,50.42,-84.35,502500000,-842100000,121.9,NA,NA,NA,NA,NA,NA,NA,NA
112,7590,HANOVER TOWER,Ontario,6043330,4007,NA,NA,50.4,-87.17,502400000,-871000000,335.3,1952,1956,NA,NA,1952,1955,1952,1956
113,7572,CARIBOU LAKE,Ontario,6041224,7397,NA,NA,50.37,-89.1,502200000,-890600000,376.7,NA,NA,NA,NA,NA,NA,NA,NA
114,7538,PERRAULT FALLS,Ontario,603FLP9,9856,NA,NA,50.33,-93.13,502000000,-930800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,7554,ARMSTRONG (AUT),Ontario,6040326,7581,NA,NA,50.3,-89.03,501800000,-890200000,350.5,1994,1995,1994,1995,1994,1995,NA,NA
116,7553,ARMSTRONG (AUT),Ontario,6040325,3987,71841,WYW,50.29,-88.91,501737000,-885419000,322.5,1938,2016,1953,2016,1938,2016,1938,1982
117,7555,ARMSTRONG A,Ontario,6040327,52900,NA,YYW,50.29,-88.91,501725000,-885435000,322.5,2015,2016,2015,2016,NA,NA,NA,NA
118,7503,LAC SEUL,Ontario,6034282,3962,NA,NA,50.28,-92.2,501700000,-921200000,352,1914,1941,NA,NA,1914,1941,1914,1941
119,7552,ARMSTRONG,Ontario,6040322,3986,NA,NA,50.28,-89.15,501700000,-890900000,341.7,1926,1947,NA,NA,1926,1947,1926,1947
120,7694,WAGAMING,Ontario,6049190,7409,NA,NA,50.27,-88.87,501600000,-885200000,313.3,NA,NA,NA,NA,NA,NA,NA,NA
121,7556,ARMSTRONG JELLIEN,Ontario,6040330,3988,NA,NA,50.25,-89.1,501500000,-890600000,341.4,1987,1992,NA,NA,1987,1992,1987,1992
122,7598,JACOBS TOWER,Ontario,6043850,7401,NA,NA,50.25,-89.83,501500000,-895000000,407.5,NA,NA,NA,NA,NA,NA,NA,NA
123,7700,OGOKI,Ontario,604E763,9875,NA,NA,50.25,-86.97,501500000,-865800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,7656,REDMOND,Ontario,6046989,4044,NA,NA,50.23,-87.5,501400000,-873000000,326.1,1952,1956,NA,NA,1952,1956,1952,1956
125,7628,NAKINA A,Ontario,6045550,4029,NA,NA,50.18,-86.7,501100000,-864200000,324.6,1939,1967,1953,1967,1939,1967,1939,1967
126,7630,NAKINA FORESTRY,Ontario,6045572,4030,NA,NA,50.18,-86.7,501100000,-864200000,320.6,1929,1959,NA,NA,1929,1959,1929,1959
127,7490,GRASSY NARROWS,Ontario,6033505,44163,NA,NA,50.14,-93.98,500827009,-935902003,322,2005,2009,NA,NA,2005,2009,2005,2006
128,7517,SIOUX LOOKOUT,Ontario,6037768,3967,NA,NA,50.13,-91.87,500800000,-915200000,364.8,1914,1932,NA,NA,1914,1932,1914,1932
129,7518,SIOUX LOOKOUT,Ontario,6037770,3968,NA,NA,50.13,-91.87,500800000,-915200000,374,1930,1938,NA,NA,1930,1938,1930,1938
130,7522,SIOUX LOOKOUT 2,Ontario,6037777,7390,NA,NA,50.13,-91.87,500800000,-915200000,364.8,NA,NA,NA,NA,NA,NA,NA,NA
131,7519,SIOUX LOOKOUT HWOS,Ontario,6037773,51017,NA,NA,50.12,-91.9,500700000,-915400000,383.4,2013,2013,NA,NA,2013,2013,NA,NA
132,7520,SIOUX LOOKOUT A,Ontario,6037775,3969,NA,NA,50.12,-91.9,500700000,-915400000,383.1,1938,2013,1953,2013,1938,2013,1938,2013
133,7523,SIOUX LOOKOUT 3,Ontario,6037779,7391,NA,NA,50.12,-91.92,500700000,-915500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,7521,SIOUX LOOKOUT A,Ontario,6037776,51138,71842,YXL,50.11,-91.91,500651000,-915429000,383.1,2013,2016,2013,2016,2013,2016,NA,NA
135,7671,STURGEON RIVER,Ontario,6048155,46427,NA,NA,50.08,-90.85,500435070,-905113060,415,2007,2013,NA,NA,2007,2013,NA,NA
136,7954,SMOKY FALLS,Ontario,6077845,4178,NA,NA,50.07,-82.17,500400000,-821000000,182.9,1933,1997,NA,NA,1933,1997,1933,1997
137,7943,PAGWA,Ontario,6076180,4171,NA,NA,50.05,-85.3,500300000,-851800000,189,1918,1934,NA,NA,1918,1934,1918,1934
138,7478,CLAY LAKE,Ontario,6031E5H,9855,NA,NA,50.03,-93.47,500200000,-932800000,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,7944,PAGWA A,Ontario,6076200,4172,NA,NA,50.03,-85.27,500200000,-851600000,189,1938,1964,NA,NA,1938,1964,1938,1964
